企业名称,企业社会信用号,工商注册地在南沙区,税务征管关系在南沙区,统计关系在南沙区,具有独立法人资格,有健全的财务管理制度,实行独立核算,属于制造业企业,申报当年是区内规模以上企业,属于工业企业,固定资产投资额不低于500万元,项目符合国家产业政策,项目符合《广东省工业企业技术改造指导目录》,取得广东省技术改造投资项目备案证,按规定落实立项报批,按规定落实纳统工作,在办法有效期内通过完工评价
巴斯夫聚氨酯(中国)有限公司,91440115708216261R,广州市南沙区西部工业区环市大道南４０８号,广州市南沙区,广州市南沙区,有限责任公司(外商合资),,,初级形态塑料及合成树脂制造,,是,,,,,,,
霸王（广州）有限公司,91440115771198203N,广州市南沙区丰泽东路106号（自编1号楼）13层1301房自编X1301-A767号（仅限办公用途）（JM）,广州市南沙区,广州市南沙区,有限责任公司(台港澳法人独资),,,肥皂及合成洗涤剂制造,,是,,,,,,,
广东奥飞数据科技股份有限公司,91440101767653410D,广州市南沙区进港大道80号421房,广州市南沙区,广州市南沙区,股份有限公司,,,,,,,,,,,,
广船国际有限公司,914401017889253000,广州市南沙区珠江管理区西路68号首层,广州市南沙区,广州市南沙区,有限责任公司(外商投资企业投资),,,船舶及相关装置制造,,是,,,,,,,
广东晶科电子股份有限公司,91440115791036885U,广州市南沙区环市大道南33号,广州市南沙区,广州市南沙区,股份有限公司(台港澳与境内合资、未上市),,,照明灯具制造,,是,,,,,,,
广汽丰田汽车有限公司,91440101717852200L,广州市南沙区黄阁镇市南大道8号,广州市南沙区,广州市南沙区,有限责任公司(台港澳与境内合资),,,汽车整车制造,,是,,,,,,,
广州宏和精密机械有限公司,91440101579997718J,广州市南沙区东涌镇自编太石中心村路自编186号101,广州市南沙区,广州市南沙区,有限责任公司(自然人投资或控股),,,其他金属加工机械制造,,是,,,,,,,
广州华汇生物实业有限公司,91440101668125196C,广州市南沙区黄阁镇梅山工业区内工业路19号之28房,广州市南沙区,广州市南沙区,有限责任公司(外商投资企业投资),,,其他未列明食品制造,,是,,,,,,,
广州朗晴电动车有限公司,91440115718199311D,广州市南沙区东涌镇太石村,广州市南沙区,广州市南沙区,有限责任公司(自然人投资或控股),,,其他未列明运输设备制造,,是,,,,,,,
广州岭南电缆股份有限公司,91440101618705985B,广州市南沙区榄核镇人绿路163号自编一栋（12号研发大楼）、自编二栋（6号厂房及立式交联电缆车间）、自编四栋（4号厂房）、自编五栋（2号厂房）、自编六栋（1号厂房）自编七栋（5号厂房）,广州市南沙区,广州市南沙区,其他股份有限公司(非上市),,,电线、电缆制造,,是,,,,,,,
广州瑞远新材料股份有限公司,914401010525651000,广州市南沙区东涌镇吉祥西路55号101,广州市南沙区,广州市南沙区,其他股份有限公司(非上市),,,日用塑料制品制造,,是,,,,,,,
广州市美柯船舶电气设备有限公司,914401156640370000,广州市南沙区榄核镇广珠路132号厂房及综合楼,广州市南沙区,广州市南沙区,其他有限责任公司,,,航标器材及其他相关装置制造,,是,,,,,,,
广州腾世智能控制系统有限公司,9144011508271118XH,广州市南沙区东涌镇南涌村启新路46号404房,广州市南沙区,广州市南沙区,有限责任公司(自然人投资或控股),,,电子元件及组件制造,,是,,,,,,,
广州王老吉大健康产业有限公司,914401015915128000,广州市南沙区双山大道3号106（不可作厂房使用）,广州市南沙区,广州市南沙区,有限责任公司(法人独资),,,茶饮料及其他饮料制造,,是,,,,,,,
广州威万事家居股份有限公司,9144011577565945XM,广州市南沙区榄核镇榄张路70号A101、C101,广州市南沙区,广州市南沙区,其他股份有限公司(非上市),,,金属制餐具和器皿制造,,是,,,,,,,
广州雅创环保科技有限公司,9144011558760251XM,广州市南沙区丰泽东路106号（自编1号楼）13层1301房自编X1301-B748号（JM）（仅限办公用途）,广州市南沙区,广州市南沙区,有限责任公司(自然人投资或控股),,,,,,,,,,,,
广州新尚艺术股份有限公司,91440111771174279A,广州市南沙区黄阁镇小虎村东一路1号以东200米（临时经营场所）,广州市南沙区,广州市南沙区,其他股份有限公司(非上市),,,工艺美术品制造,,是,,,,,,,
广州造纸股份有限公司,91440101618413376W,广州市南沙区珠江街新广一路29号,广州市南沙区,广州市南沙区,股份有限公司(台港澳与境内合资、未上市),,,机制纸及纸板制造,,是,,,,,,,
广州紫川电子科技有限公司,914401153401414000,广州市南沙区进港大道80号1617-1618房（仅限办公用途）,广州市南沙区,广州市南沙区,有限责任公司(自然人投资或控股),,,,,,,,,,,,
汇通宝支付有限责任公司,91440101728221199E,广州市南沙区进港大道24号10楼左之三房,广州市南沙区,广州市南沙区,有限责任公司(法人独资),,,,,,,,,,,,
